timestamp_ms,speed_mm_per_s,smoothed_speed_mm_per_s
1630002056220,0.00,0.00
1630002056236,1499.77,749.88
1630002056253,1576.38,1499.77
1630002056270,1303.26,1401.51
1630002056286,1617.68,1499.77
1630002056303,1398.20,1448.98
1630002056320,1625.02,1499.77
1630002056336,1409.72,1454.74
1630002056353,1486.88,1486.88
1630002056370,1415.63,1451.25
1630002056386,1594.78,1493.32
1630002056403,1420.84,1453.86
1630002056420,1342.48,1418.23
1630002056436,1516.45,1453.86
1630002056453,1444.57,1432.70
1630002056470,1380.91,1432.70
1630002056486,1633.04,1432.70
1630002056503,1296.78,1432.70
1630002056520,1462.20,1432.70
1630002056536,1483.49,1453.38
1630002056553,1472.74,1453.38
1630002056570,1483.66,1467.47
1630002056587,1375.67,1467.47
1630002056603,1593.35,1467.47
1630002056620,1502.77,1478.11
1630002056637,1463.84,1478.11
1630002056653,1558.10,1478.11
1630002056670,1410.06,1478.11
1630002056687,1514.19,1483.58
1630002056703,1560.09,1493.22
1630002056720,1399.16,1493.22
1630002056736,1442.14,1483.31
1630002056753,1435.19,1483.31
1630002056770,1553.02,1483.31
1630002056787,1351.06,1452.99
1630002056803,1527.75,1478.16
1630002056820,1415.28,1438.66
1630002056837,1489.79,1465.97
1630002056853,1563.77,1465.97
1630002056870,1430.68,1438.66
1630002056887,1500.79,1465.97
1630002056903,1481.50,1485.65
1630002056920,1481.83,1485.81
1630002056937,1458.01,1481.66
1630002056953,1470.97,1481.66
1630002056970,1465.90,1476.24
1630002056987,1306.70,1476.24
1630002057003,1531.80,1476.24
1630002057020,1442.50,1468.43
1630002057037,1513.77,1476.24
1630002057053,1494.10,1476.24
1630002057070,1338.97,1468.43
1630002057086,1595.52,1468.43
1630002057103,1475.25,1473.11
1630002057120,1338.00,1470.57
1630002057136,1436.45,1458.88
1630002057153,1312.49,1458.88
1630002057170,1600.11,1458.88
1630002057186,1491.16,1483.20
1630002057203,1396.67,1455.85
1630002057220,1361.17,1416.56
1630002057236,1507.96,1455.85
1630002057253,1399.13,1417.79
1630002057270,1576.92,1417.79
1630002057287,1376.23,1417.79
1630002057303,1609.69,1445.14
1630002057320,1364.37,1445.14
1630002057336,1702.58,1445.14
1630002057353,1325.38,1397.90
1630002057370,1460.48,1429.80
1630002057387,1353.99,1429.80
1630002057403,1651.70,1429.80
1630002057420,1433.97,1447.22
1630002057436,1654.88,1447.22
1630002057453,1302.49,1447.22
1630002057470,1429.35,1431.66
1630002057486,1536.60,1447.22
1630002057503,1552.87,1447.22
1630002057520,1438.42,1449.45
1630002057537,1468.09,1453.25
1630002057553,1461.49,1464.79
1630002057570,1641.40,1464.79
1630002057586,1456.34,1464.79
1630002057603,1596.41,1464.79
1630002057620,1318.50,1464.79
1630002057636,1747.61,1502.34
1630002057653,1461.14,1464.79
1630002057670,1414.24,1461.31
1630002057686,1433.04,1461.31
1630002057703,1463.87,1461.31
1630002057720,1447.65,1458.74
1630002057737,1674.59,1458.74
1630002057753,1453.96,1457.55
1630002057770,1478.17,1457.55
